Time,theta1,theta1dot,theta2,theta2dot
0.0013137172430084895,0.1623012471247312,-0.2315307051874356,-0.3251610073942341,0.03855357511531297
0.01103502046126481,0.16006288812423156,-0.2289792955324667,-0.32476566509309185,0.042785373133384236
0.020753805763474624,0.15784978457357374,-0.2264527360625176,-0.32432919640646574,0.04703774751214053
0.030475653201548835,0.15566043353090633,-0.22394940199503233,-0.3238511416274957,0.05131209263993604
0.040200759208207745,0.15349458176758807,-0.2214690920312033,-0.3233312550694056,0.05560746468290799
0.04992933125558049,0.1513519768193274,-0.21901160592870042,-0.3227692968355753,0.05992292371472799
0.05966156402452956,0.149232372219923,-0.21657675060817394,-0.32216503411043795,0.06425752304013768
0.06939765812002621,0.14713552327442414,-0.2141643354250899,-0.3215182401538763,0.06861031732084073
0.07913781823529782,0.1450611874571083,-0.21177417273235197,-0.32082869431150174,0.07298036165653317
0.08888223970391838,0.14300912721290174,-0.2094060812253959,-0.3200961829734231,0.07736670540435307
0.09863113241150377,0.1409791048323203,-0.20705988015116225,-0.31932049783576727,0.08176840277701582
0.10838468637666598,0.13897088960515258,-0.20473539768913437,-0.31850143856130975,0.08618449718343472
0.11814310295536282,0.13698425120931634,-0.20243246344086355,-0.3176388104088333,0.09061403514150841
0.12790657960062635,0.13501896282897802,-0.20015091215668068,-0.31673242545297986,0.09505605925480277
0.13767531096395347,0.13307480082821274,-0.1978905834893096,-0.3157821025864574,0.0995096085471242
0.14744949856845846,0.13115154276332722,-0.19565131981059758,-0.31478766660558405,0.10397372272659072
0.15722933492687605,0.12924897046769004,-0.1934329699291661,-0.31374894981137164,0.10844743479457437
0.16701500957128898,0.1273668687343475,-0.19123538769720488,-0.3126657915657156,0.11292977363341815
0.17680671696381897,0.12550502372420333,-0.18905843028495148,-0.3115380374688106,0.11741976748835456
0.18660464573489471,0.12366322496696128,-0.18690196065124315,-0.31036554060323585,0.12191643889839869
0.1964089834107061,0.12184126436030755,-0.18476584651347186,-0.3091481611134887,0.1264188067199989
0.2062199098558367,0.12003893729158922,-0.18264996180313103,-0.30788576713893906,0.13092588297992777
0.21603761362896867,0.11825603953981836,-0.18055418316980607,-0.3065782328243122,0.13543668025843156
0.22586226923799613,0.11649237136176695,-0.17847839491962794,-0.30522544136293195,0.1399502011157167
0.23569405057607495,0.11474773491120942,-0.17642248613007608,-0.30382728343212484,0.144465444146835
0.24553313149945988,0.11302193406821477,-0.17438635058839483,-0.30238365718360855,0.14898140413626595
0.2553796844397186,0.11131477461381752,-0.17236988713807913,-0.30089446852291024,0.15349707131331528
0.26523386511605995,0.10962606675561277,-0.17037300280937073,-0.29935963362566376,0.15801142425080825
0.2750958331121779,0.1079556214323229,-0.16839560860136096,-0.29777907604183906,0.16252343922551504
0.2849657396955487,0.10630325231639683,-0.16643762199176998,-0.29615272871694176,0.16703208456393082
0.2948437329608016,0.10466877482331739,-0.16449896590939622,-0.29448053337348196,0.17153632294084128
0.30472994497482403,0.10305200810799721,-0.16257957124729547,-0.2927624429238487,0.17603510548378215
0.31462451677837827,0.10145277083205048,-0.16067937198302384,-0.29099841739761967,0.18052738313769356
0.3245275652801988,0.09987088644449353,-0.15879831159014138,-0.2891884299471967,0.18501209160028625
0.3344392021105512,0.09830617993494875,-0.1569363393261587,-0.28733246389993633,0.1894881599391978
0.3443595387847253,0.09675847692471777,-0.1550934092856745,-0.28543051195886093,0.19395451293883045
0.3542886660808383,0.09522760676726941,-0.15326948422641995,-0.2834825803821445,0.19841006186267096
0.36422666301947887,0.09371340094104522,-0.15146453379141053,-0.28148868770892993,0.2028537086373645
0.3741736045266432,0.09221569174072261,-0.14967853307674872,-0.2794488635166378,0.2072843493969504
0.3841295452113495,0.09073431458523168,-0.14791146550720574,-0.2773631520300749,0.21170086739368768
0.39409452682884055,0.08926910669408407,-0.14616332137812182,-0.2752316110399808,0.21610213655340052
0.4040685781199544,0.08781990694732937,-0.14443409780122907,-0.27305431230151866,0.22048702163411343
0.4140517044394982,0.08638655720417301,-0.14272380038451232,-0.27083134422938737,0.22485437395990387
0.4240438996151884,0.08496890038414472,-0.14103244104114268,-0.26856280976402663,0.22920303697748803
0.4340451375289655,0.0835667814991771,-0.1393600393108502,-0.2662488286573793,0.23353184293467733
0.44405537174218224,0.08218004749717214,-0.13770662225340105,-0.2638895380578941,0.2378396131660674
0.45407452933595244,0.08080854789420305,-0.13607222527085475,-0.2614850944972493,0.24212515595972733
0.4641025168019821,0.07945213373207968,-0.13445689092059834,-0.2590356730558856,0.24638726967360788
0.47413921775206985,0.07811065768649086,-0.1328606690880793,-0.2565414684163607,0.2506247423607514
0.48418449506813394,0.07678397357609679,-0.13128361643294853,-0.2540026948311918,0.25483635333379223
0.49423817363208833,0.07547193841736854,-0.12972579884448296,-0.25141959105324607,0.25902086668369745
0.5043000618069212,0.07417440935844741,-0.12818728779255184,-0.24879241548450298,0.26317704111865425
0.5143699302517168,0.07289124622422767,-0.12666816332761058,-0.24612145217521578,0.2673036220335568
0.5244475224439963,0.07162230990696829,-0.1251685121265788,-0.24340700872398052,0.27139934688341644
0.5345325540496263,0.07036746224102973,-0.12368842728468,-0.24064941696795272,0.2754629459299946
0.5446247007414906,0.06912656729233423,-0.12222800975017145,-0.2378490368949181,0.279493138463344
0.5547236125529794,0.0678994893461922,-0.12078736584126512,-0.23500625330157096,0.28348863979927186
0.5648289040972836,0.06668609391086203,-0.11936660829820095,-0.2321214790167371,0.28744815860669654
0.5749401555720407,0.06548624737511019,-0.11796585572095179,-0.22919515518701414,0.29137039867843884
